Ticker,Company_Name,Forensic_Score,Forensic_Verdict,Sloan_Ratio,F_Score,F_Score_Items,F_Score_Reliable,Hollow_Ratio,Quality_Warning,ROIC,Warnings,Score_Details,Health_Score,Decision
2385.TW,群光,65,⚠️ B：需留意,0.0273,2,6,True,,False,0.0,財務實力弱,"{""base"": 80, ""sloan_bonus"": 5, ""fscore_penalty"": -20, ""hollow_penalty"": 0, ""roic_bonus"": 0, ""warnings"": [""財務實力弱""]}",75,📈 Accumulate
2542.TW,興富發,60,⚠️ B：需留意,0.0535,1,6,True,,False,0.0,財務實力弱,"{""base"": 80, ""sloan_penalty"": 0, ""fscore_penalty"": -20, ""hollow_penalty"": 0, ""roic_bonus"": 0, ""warnings"": [""財務實力弱""]}",30,📈 Accumulate
2609.TW,陽明,65,⚠️ B：需留意,-0.023,3,6,True,,False,0.0,財務實力弱,"{""base"": 80, ""sloan_bonus"": 5, ""fscore_penalty"": -20, ""hollow_penalty"": 0, ""roic_bonus"": 0, ""warnings"": [""財務實力弱""]}",85,📈 Accumulate
2603.TW,長榮,85,⭐ AA：財務健康,-0.024,4,6,True,,False,0.0,,"{""base"": 80, ""sloan_bonus"": 5, ""fscore_penalty"": 0, ""fscore_bonus"": 0, ""hollow_penalty"": 0, ""roic_bonus"": 0, ""warnings"": []}",90,📈 Accumulate
1476.TW,儒鴻,65,⚠️ B：需留意,0.0194,3,6,True,,False,0.0,財務實力弱,"{""base"": 80, ""sloan_bonus"": 5, ""fscore_penalty"": -20, ""hollow_penalty"": 0, ""roic_bonus"": 0, ""warnings"": [""財務實力弱""]}",60,➡️ Hold
6412.TW,群電,65,⚠️ B：需留意,0.0169,2,6,True,,False,0.0,財務實力弱,"{""base"": 80, ""sloan_bonus"": 5, ""fscore_penalty"": -20, ""hollow_penalty"": 0, ""roic_bonus"": 0, ""warnings"": [""財務實力弱""]}",55,➡️ Hold
2357.TW,華碩,65,⚠️ B：需留意,0.0381,3,6,True,,False,0.0,財務實力弱,"{""base"": 80, ""sloan_bonus"": 5, ""fscore_penalty"": -20, ""hollow_penalty"": 0, ""roic_bonus"": 0, ""warnings"": [""財務實力弱""]}",60,📈 Accumulate
9917.TW,中保科,85,⭐ AA：財務健康,-0.0107,4,6,True,,False,0.0,,"{""base"": 80, ""sloan_bonus"": 5, ""fscore_penalty"": 0, ""fscore_bonus"": 0, ""hollow_penalty"": 0, ""roic_bonus"": 0, ""warnings"": []}",85,📈 Accumulate
2633.TW,台灣高鐵,85,⭐ AA：財務健康,-0.0356,4,6,True,,False,0.0,,"{""base"": 80, ""sloan_bonus"": 5, ""fscore_penalty"": 0, ""fscore_bonus"": 0, ""hollow_penalty"": 0, ""roic_bonus"": 0, ""warnings"": []}",90,➡️ Hold
1402.TW,遠東新,85,⭐ AA：財務健康,-0.0318,5,6,True,,False,0.0,,"{""base"": 80, ""sloan_bonus"": 5, ""fscore_penalty"": 0, ""fscore_bonus"": 0, ""hollow_penalty"": 0, ""roic_bonus"": 0, ""warnings"": []}",90,📈 Accumulate
6409.TW,旭隼,80,⭐ AA：財務健康,0.0881,4,6,True,,False,0.0,,"{""base"": 80, ""sloan_penalty"": 0, ""fscore_penalty"": 0, ""fscore_bonus"": 0, ""hollow_penalty"": 0, ""roic_bonus"": 0, ""warnings"": []}",65,📈 Accumulate
3714.TW,富采,85,⭐ AA：財務健康,-0.0923,4,6,True,,False,0.0,,"{""base"": 80, ""sloan_bonus"": 5, ""fscore_penalty"": 0, ""fscore_bonus"": 0, ""hollow_penalty"": 0, ""roic_bonus"": 0, ""warnings"": []}",70,➡️ Hold
1605.TW,華新,85,⭐ AA：財務健康,-0.0314,4,6,True,,False,0.0,,"{""base"": 80, ""sloan_bonus"": 5, ""fscore_penalty"": 0, ""fscore_bonus"": 0, ""hollow_penalty"": 0, ""roic_bonus"": 0, ""warnings"": []}",85,✅ Hold
2313.TW,華通,85,⭐ AA：財務健康,-0.0323,6,6,True,,False,0.0,,"{""base"": 80, ""sloan_bonus"": 5, ""fscore_penalty"": 0, ""fscore_bonus"": 0, ""hollow_penalty"": 0, ""roic_bonus"": 0, ""warnings"": []}",85,⚠️ Hold (Caution)
2439.TW,美律,65,⚠️ B：需留意,0.0058,3,6,True,,False,0.0,財務實力弱,"{""base"": 80, ""sloan_bonus"": 5, ""fscore_penalty"": -20, ""hollow_penalty"": 0, ""roic_bonus"": 0, ""warnings"": [""財務實力弱""]}",50,➡️ Hold
2207.TW,和泰車,85,⭐ AA：財務健康,-0.0462,4,6,True,,False,0.0,,"{""base"": 80, ""sloan_bonus"": 5, ""fscore_penalty"": 0, ""fscore_bonus"": 0, ""hollow_penalty"": 0, ""roic_bonus"": 0, ""warnings"": []}",85,📈 Accumulate
5904.TW,寶雅,85,⭐ AA：財務健康,-0.0622,4,6,True,,False,0.0,,"{""base"": 80, ""sloan_bonus"": 5, ""fscore_penalty"": 0, ""fscore_bonus"": 0, ""hollow_penalty"": 0, ""roic_bonus"": 0, ""warnings"": []}",85,📈 Accumulate
2457.TW,飛宏,65,⚠️ B：需留意,-0.0428,2,6,True,,False,0.0,財務實力弱,"{""base"": 80, ""sloan_bonus"": 5, ""fscore_penalty"": -20, ""hollow_penalty"": 0, ""roic_bonus"": 0, ""warnings"": [""財務實力弱""]}",80,➡️ Hold
1504.TW,東元,65,⚠️ B：需留意,0.0384,2,6,True,,False,0.0,財務實力弱,"{""base"": 80, ""sloan_bonus"": 5, ""fscore_penalty"": -20, ""hollow_penalty"": 0, ""roic_bonus"": 0, ""warnings"": [""財務實力弱""]}",50,✅ Hold
2353.TW,宏碁,65,⚠️ B：需留意,0.0115,3,6,True,,False,0.0,財務實力弱,"{""base"": 80, ""sloan_bonus"": 5, ""fscore_penalty"": -20, ""hollow_penalty"": 0, ""roic_bonus"": 0, ""warnings"": [""財務實力弱""]}",50,📈 Accumulate
3532.TW,台勝科,85,⭐ AA：財務健康,-0.0057,4,6,True,,False,0.0,,"{""base"": 80, ""sloan_bonus"": 5, ""fscore_penalty"": 0, ""fscore_bonus"": 0, ""hollow_penalty"": 0, ""roic_bonus"": 0, ""warnings"": []}",90,⚠️ Hold (Caution)
1101.TW,台泥,85,⭐ AA：財務健康,-0.0609,4,6,True,,False,0.0,,"{""base"": 80, ""sloan_bonus"": 5, ""fscore_penalty"": 0, ""fscore_bonus"": 0, ""hollow_penalty"": 0, ""roic_bonus"": 0, ""warnings"": []}",90,📈 Accumulate
